model,specs,warranty,price
Samsung Galaxy Note 10 Plus Dual Sim,"4G, 12GB RAM, 256 ROM,Aura Black",With Official Warranty,182999
Samsung Galaxy A31,"4G, 4GB, 128GB, Blue",With Official Warranty,40199
Samsung Galaxy A51 Dual Sim,"4G, 6GB, 128GB, Prism Black",With Official Warranty,52499
Samsung Galaxy Note 10 Plus Dual Sim,"4G, 12GB RAM, 256GB ROM,Aura Glow",- PTA Approved,171999
Samsung Galaxy A71 Dual Sim,"4G, 8GB, 128GB, Crush Blue",With Official Warranty,68678
Samsung Galaxy S10 Plus Dual Sim,"4G, 8GB RAM, 128GB ROM, Black",- Non PTA,106999
Samsung Galaxy Note 10 Lite Dual Sim,"4G, 8GB, 128GB,Aura Black",With Official Warranty,92999
Samsung Galaxy Fold,"5G, 12GB RAM, 512GB ROM, Space Silver",- Non PTA,220999
Samsung Galaxy A11,"4G, 2GB, 32GB Black",With Official Warranty,24799
Samsung Galaxy S20 Dual Sim,"4G, 8GB, 128GB, Cosmic Gray",With Official Warranty,164619
Samsung Galaxy A30s,"4G, 4GB RAM, 128GB ROM,Green",With Official Warranty,37149
Samsung Galaxy Note 10 Lite Dual Sim,"4G, 6GB, 128GB,Aura Black",- PTA Approved,85999
Samsung Galaxy A51 Dual Sim,"4G, 6GB, 128GB, Pink",With Official Warranty,51499
Samsung Galaxy A21s,4G 4GB 64GB Black,With Official Warranty,32089
Samsung Galaxy S20 Ultra Dual Sim,"5G, 12GB, 128GB,Cosmic Black",- PTA Approved,194999
Samsung galaxy S10 lite Dual Sim,"4G, 6GB, 128GB, Prism Blue",- PTA Approved,92999
Samsung Galaxy S20 Plus G985F/DS,"4G, 8GB, 128GB,Cosmic Black",- PTA Approved,155499
Samsung Galaxy A21s,4G 4GB 64GB Blue,With Official Warranty,32089
Samsung Galaxy S20 Plus Dual Sim,"4G, 8GB, 128GB,Cosmic Black",With Official Warranty,182010
Samsung Galaxy Note 10 Lite Dual Sim,"4G, 6GB, 128GB,Aura Glow",- PTA Approved,85999
Samsung Galaxy A01,"4G, 2GB, 16GB,Black",With Official Warranty,17637
Samsung Galaxy S20 Plus G985F/DS,"4G, 8GB, 128GB,Cloud Blue",- PTA Approved,155499
Samsung Galaxy A10s Dual Sim,"4G, 2GB RAM, 32GB ROM,Black",With Official Warranty,19798
Samsung Galaxy S20 Plus Dual Sim,"4G, 8GB, 128GB,Cosmic Gray",- PTA Approved,155499
