model,specs,warranty,price
Samsung Galaxy A10s,32GB Dual Sim Red,Official Warranty,18500
Samsung Galaxy A10s,32GB Dual Sim Black,Official Warranty,18500
Samsung Galaxy A11,32GB 2GB RAM Dual SIM White,"",20899
Samsung Galaxy A11,32GB 2GB RAM Dual SIM Black,"",20899
Samsung Galaxy S20,Ultra 5G 128GB 12GB RAM Dual Sim Cosmic Grey,Non PTA Compliant,165999
Samsung Galaxy S20,Ultra 5G 128GB 12GB RAM Dual Sim Cosmic Black,Non PTA Compliant,165999
Samsung Galaxy A11,32GB 2GB RAM Dual SIM Black,"",24959
Samsung Galaxy A31,128GB 4GB RAM Dual SIM Prism Crush White,"",40319
Samsung Galaxy A31,128GB 4GB RAM Dual SIM Prism Crush Black,"",40319
Samsung Galaxy A31,128GB 4GB RAM Dual SIM Prism Crush Blue,"",40319
Samsung Galaxy A21,64GB 4GB RAM Dual SIM Black,"",32160
Samsung Galaxy A11,32GB 2GB RAM Dual SIM White,"",24959
Samsung Galaxy A11,32GB 2GB RAM Dual SIM Blue,"",24959
Samsung Galaxy Fold 5G,512GB Cosmos Black,Non PTA Compliant,229999
Samsung Galaxy Note 10,256GB 8GB Dual Sim Aura Black,Non PTA Compliant,104999
Samsung Galaxy Note 10+,256GB 12GB Dual Sim Aura White,Non PTA Compliant,124999
Samsung Galaxy Z,Flip 256GB Single Sim Mirror Black,Non PTA Compliant,171999
Samsung Galaxy S20+,128GB Dual Sim Cloud Blue,Official Warranty,183840
Samsung Galaxy S20+,128GB Dual Sim Cosmic Gray,Official Warranty,183840
Samsung Galaxy S20+,128GB Dual Sim Cosmic Black,Official Warranty,183840
